City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,ribeira brava,32.65,-17.0667,20.4,80,98,0.82,PT,1732592101
181,rulenge,-2.7175,30.6325,15.37,97,64,0.63,TZ,1732592101
182,brookings,44.3114,-96.7984,-7.75,82,0,2.57,US,1732592101
183,adzope,6.1069,-3.8619,21.87,98,13,0.57,CI,1732592101
184,dryden,49.7833,-92.7503,-6.84,86,100,5.66,CA,1732592101
185,feodosiya,45.0333,35.3833,4.23,82,99,7.17,UA,1732592102
186,haiku-pauwela,20.9219,-156.3051,24.03,81,5,6.26,US,1732592102
187,weno,7.4515,151.8468,29.97,84,100,2.57,FM,1732592102
188,nemuro,43.3236,145.575,3.32,58,15,1.28,JP,1732592102
189,aral,40.5156,81.2636,1.88,49,3,7.59,CN,1732592102
190,port lincoln,-34.7333,135.8667,20.87,73,100,2.44,AU,1732592102
191,keflavik,64.0049,-22.5624,3.24,65,100,7.72,IS,1732592102
192,whakatane,-37.9585,176.9854,26.4,63,58,1.79,NZ,1732591823
193,talnakh,69.4865,88.3972,-4.93,93,100,4.52,RU,1732592103
194,egilsstadir,65.2653,-14.3948,-8.05,57,0,3.6,IS,1732592103
195,tomatlan,19.9333,-105.25,21.56,85,21,1.47,MX,1732592103
196,nuuk,64.1835,-51.7216,-2.66,100,100,8.23,GL,1732592039
197,mao,39.8885,4.2658,17.31,88,0,2.57,ES,1732592103
198,abashiri,44.0213,144.2697,3.16,65,40,1.03,JP,1732592103
199,kapa'a,22.0752,-159.319,26.18,74,0,7.72,US,1732592103
200,klyuchi,52.2667,79.1667,-9.37,93,52,2.14,RU,1732592104
201,shizunai-furukawacho,42.3339,142.3669,7.67,65,39,8.16,JP,1732592104
202,gevrai,19.2667,75.75,20.92,47,99,2.66,IN,1732592104
203,ixtapa,20.7,-105.2,24.57,88,0,1.03,MX,1732592104
204,kuressaare,58.2481,22.5039,8.86,94,100,6.17,EE,1732592104
205,tabou,4.423,-7.3528,24.39,88,8,1.17,CI,1732592104
206,yelizovo,53.1873,158.3805,3.08,48,75,4.0,RU,1732592104
207,broome,42.2506,-75.833,6.15,88,100,3.13,US,1732592105
208,ribeira grande,38.5167,-28.7,19.87,92,28,5.81,PT,1732592105
209,lubango,-14.9172,13.4925,16.32,81,28,0.11,AO,1732592105
210,selfoss,63.9331,-20.9971,-6.09,71,61,2.03,IS,1732592105
211,kodiak,57.79,-152.4072,-2.27,86,0,0.0,US,1732592105
212,zeya,53.75,127.2667,-5.69,86,100,2.84,RU,1732592105
213,porto novo,6.4965,2.6036,26.9,88,86,2.05,BJ,1732592105
214,tobruk,32.0836,23.9764,16.0,60,69,3.95,LY,1732592106
215,banda aceh,5.5577,95.3222,26.48,83,100,0.48,ID,1732592106
216,vodnyy,63.5046,53.4095,-1.37,83,100,6.67,RU,1732592106
217,moyynkum,44.2914,72.9469,2.15,57,7,2.27,KZ,1732592106
218,robertsport,6.7533,-11.3686,26.53,77,13,0.74,LR,1732592106
219,hithadhoo,-0.6,73.0833,28.11,78,100,7.0,MV,1732592106
220,chernomorskoye,45.5039,32.6997,2.5,72,55,7.17,UA,1732592106
221,saudarkrokur,65.7461,-19.6394,-5.86,87,10,8.77,IS,1732592106
222,nosy varika,-20.5833,48.5333,25.79,80,85,2.85,MG,1732592106
223,polyarnyy,69.1989,33.4478,-4.61,86,99,2.66,RU,1732592107
224,bereket,39.2446,55.5154,11.38,70,43,4.93,TM,1732592107
225,vera,-29.4593,-60.2126,21.92,97,88,2.94,AR,1732592107
226,college,64.8569,-147.8028,-7.01,86,100,1.54,US,1732592107
227,myshkin,57.7897,38.4545,-0.87,76,99,6.15,RU,1732592107
228,pacific grove,36.6177,-121.9166,15.79,93,100,5.81,US,1732592107
229,dudinka,69.4058,86.1778,-5.84,93,100,7.75,RU,1732592107
230,ascension,30.2169,-90.9001,22.22,88,100,2.57,US,1732592108
231,baotou,40.6522,109.8222,-4.84,42,100,11.29,CN,1732592108
232,invercargill,-46.4,168.35,15.01,73,45,8.49,NZ,1732592108
233,kardla,58.9978,22.7492,8.67,91,100,8.0,EE,1732592108
234,saint-georges,12.0564,-61.7485,27.82,78,20,2.57,GD,1732592108
235,gotsucho,35.0,132.2167,16.34,91,98,12.64,JP,1732592108
236,susuman,62.7833,148.1667,-33.9,96,8,0.21,RU,1732592108
237,salida,37.7058,-121.0849,14.52,86,100,3.6,US,1732592109
238,borrazopolis,-23.9411,-51.5875,21.23,62,32,2.47,BR,1732592109
239,fisterra,42.9049,-9.2629,14.97,74,100,7.62,ES,1732592109
240,faya-largeau,17.9257,19.1043,16.22,39,6,10.1,TD,1732592109
241,nabire,-3.3667,135.4833,29.66,75,88,2.22,ID,1732592109
242,lichinga,-13.3128,35.2406,19.05,88,0,5.66,MZ,1732592109
243,chorbane,35.2858,10.3858,14.21,72,0,4.75,TN,1732592109
